,loss,accuracy,binary_io_u_1,val_loss,val_accuracy,val_binary_io_u_1
0,0.25287699699401855,0.8977739214897156,0.44987741112709045,0.20154978334903717,0.9195728302001953,0.5398847460746765
1,0.19350099563598633,0.9238100647926331,0.5872992277145386,0.18040664494037628,0.9291475415229797,0.6028769016265869
2,0.17505383491516113,0.9315216541290283,0.6264320611953735,0.17106308043003082,0.9321916103363037,0.6116668581962585
3,0.1635889858007431,0.9361065626144409,0.6500710248947144,0.16078302264213562,0.9373511075973511,0.645197331905365
4,0.15745453536510468,0.9385491609573364,0.662564218044281,0.1557525098323822,0.9393726587295532,0.6689062714576721
5,0.15172426402568817,0.9408649802207947,0.6742953062057495,0.15723665058612823,0.9378656148910522,0.6439233422279358
6,0.1465284675359726,0.9429564476013184,0.6850596070289612,0.15035927295684814,0.9415092468261719,0.6701515913009644
7,0.1413424164056778,0.9451319575309753,0.6959660649299622,0.1501477211713791,0.9413851499557495,0.6833338141441345
8,0.13861101865768433,0.9460349082946777,0.7006716132164001,0.14506958425045013,0.9444969892501831,0.6864213347434998
9,0.13413305580615997,0.9480020403862,0.7105994820594788,0.1404494047164917,0.9458315372467041,0.6997383236885071
10,0.1308434009552002,0.9492475390434265,0.7170134782791138,0.1385834962129593,0.946368932723999,0.7026339769363403
11,0.12807559967041016,0.9503240585327148,0.7223990559577942,0.14581690728664398,0.9433473944664001,0.6915156841278076
12,0.12519727647304535,0.9514442682266235,0.7281637191772461,0.14270660281181335,0.9441506862640381,0.7029218077659607
